[2016-11-21 14:35:14,845 : setup - GPIO @ GPIO.py (DEBUG)] PIN P8_13 (obstacle detection status) setup as INPUT
[2016-11-21 16:13:34,853 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_31 (brake light)'s state changed to LOW
[2016-11-21 16:13:34,854 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_29's state changed to LOW
[2016-11-21 16:13:35,297 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_33 (left blinker)'s state changed to LOW
[2016-11-21 16:13:35,297 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_27 (right blinker)'s state changed to LOW
[2016-11-21 16:13:35,298 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_31 (brake light)'s state changed to HIGH
[2016-11-21 16:13:35,298 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_29's state changed to LOW
[2016-11-21 16:13:35,799 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_33 (left blinker)'s state changed to LOW
[2016-11-21 16:13:35,800 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_27 (right blinker)'s state changed to LOW
[2016-11-21 16:13:35,800 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_31 (brake light)'s state changed to HIGH
[2016-11-21 16:13:35,801 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_29's state changed to HIGH
[2016-11-21 16:13:36,301 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_33 (left blinker)'s state changed to LOW
[2016-11-21 16:13:36,302 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_27 (right blinker)'s state changed to LOW
[2016-11-21 16:13:36,303 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_31 (brake light)'s state changed to LOW
[2016-11-21 16:13:36,303 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_29's state changed to HIGH
[2016-11-21 16:13:36,803 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_33 (left blinker)'s state changed to LOW
[2016-11-21 16:13:36,804 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_27 (right blinker)'s state changed to HIGH
[2016-11-21 16:13:36,805 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_31 (brake light)'s state changed to LOW
[2016-11-21 16:13:36,805 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_29's state changed to HIGH
[2016-11-21 16:13:37,807 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_33 (left blinker)'s state changed to HIGH
[2016-11-21 16:13:37,808 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_27 (right blinker)'s state changed to HIGH
[2016-11-21 16:13:37,809 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_31 (brake light)'s state changed to LOW
[2016-11-21 16:13:37,810 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_29's state changed to HIGH
[2016-11-21 16:22:45,371 : setup - GPIO @ GPIO.py (DEBUG)] PIN P8_33 (left blinker) setup as OUTPUT
[2016-11-21 16:22:45,372 : setup - GPIO @ GPIO.py (DEBUG)] PIN P8_27 (right blinker) setup as OUTPUT
[2016-11-21 16:22:45,375 : setup - GPIO @ GPIO.py (DEBUG)] PIN P8_31 (brake light) setup as OUTPUT
[2016-11-21 16:22:45,376 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_33 (left blinker)'s state changed to LOW
[2016-11-21 16:22:45,376 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_27 (right blinker)'s state changed to LOW
[2016-11-21 16:22:45,376 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_31 (brake light)'s state changed to LOW
[2016-11-21 16:22:49,742 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_33 (left blinker)'s state changed to HIGH
[2016-11-21 16:22:49,743 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_27 (right blinker)'s state changed to LOW
[2016-11-21 16:22:49,743 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_31 (brake light)'s state changed to LOW
[2016-11-21 16:22:49,744 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_29's state changed to LOW
[2016-11-21 16:22:50,245 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_33 (left blinker)'s state changed to HIGH
[2016-11-21 16:22:50,246 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_27 (right blinker)'s state changed to HIGH
[2016-11-21 16:22:50,247 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_31 (brake light)'s state changed to LOW
[2016-11-21 16:22:50,248 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_29's state changed to LOW
[2016-11-21 16:22:51,249 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_33 (left blinker)'s state changed to LOW
[2016-11-21 16:22:51,251 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_27 (right blinker)'s state changed to HIGH
[2016-11-21 16:22:51,252 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_31 (brake light)'s state changed to LOW
[2016-11-21 16:22:51,253 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_29's state changed to LOW
[2016-11-21 16:22:51,751 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_33 (left blinker)'s state changed to LOW
[2016-11-21 16:22:51,752 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_27 (right blinker)'s state changed to HIGH
[2016-11-21 16:22:51,753 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_31 (brake light)'s state changed to HIGH
[2016-11-21 16:22:51,753 : output - GPIO @ GPIO.py (DEBUG)] PIN P8_29's state changed to LOW
